RouteName;Direction;TFLSequence;BusStopCode;FirstLast
R68;2;20;73001;
179;1;18;52267;
358;1;11;74779;
326;1;17;75744;
612;1;11;57187;
219;2;22;53260;
277;1;35;57673;
656;2;14;72119;
N253;2;31;59125;
646;2;18;52403;
220;1;1;55132;FIRST
N136;2;77;57815;
N87;1;46;48295;
260;1;3;53890;
45;2;28;71965;
79;2;22;54330;
N21;2;1;48121;FIRST
16;2;31;71391;
196;1;32;57741;
292;2;22;56632;
234;1;19;57327;
N21;2;39;76375;
318;2;6;77300;
663;2;7;48407;
139;1;12;52041;
N55;2;45;77974;
51;2;24;77418;
289;2;26;71410;
56;2;10;57666;
203;2;27;51751;
151;2;11;53597;
128;1;1;57669;FIRST
465;1;61;49690;
466;1;4;53677;
H91;2;2;51781;
253;2;28;59534;
662;1;2;74734;
B11;1;34;75906;
S3;1;45;98197;
347;1;29;48765;
H32;1;24;76290;
139;2;3;71098;
183;1;44;51289;
N550;2;23;58467;
367;1;62;50876;LAST
E3;2;4;75949;
N68;2;75;74548;
R10;2;13;49449;
RV1;1;1;59005;FIRST
N3;2;9;47774;
N68;2;26;71846;
N68;2;14;74579;
N551;1;65;52837;
N381;2;21;76646;
187;2;15;56801;
B11;1;27;53780;
413;1;16;50799;
395;1;17;71772;
N91;1;40;57740;
59;2;38;53329;LAST
N47;1;54;50791;
308;1;22;91463;
62;2;31;51811;
152;1;21;54481;
159;1;5;50410;
103;2;30;75612;
232;2;52;73216;
42;1;23;53598;
173;2;33;56955;
N113;1;55;52972;
EL2;1;2;72545;
243;1;50;56700;
B16;2;44;52254;
204;1;32;76801;
157;2;46;56189;
N253;2;43;54763;
W16;1;28;77301;
35;2;44;73287;
602;2;19;49624;
100;1;11;76584;
486;2;9;52270;
H10;1;28;47798;
16;1;6;50303;
464;1;9;58806;
413;1;11;51638;
220;2;8;48599;
N381;1;30;56344;
N28;1;17;77834;
R2;2;42;54778;
W13;2;7;48962;
235;2;6;53616;
51;1;51;76706;
290;1;1;77228;FIRST
145;2;14;50844;
283;1;22;56649;
675;1;14;76263;
120;2;16;59036;
149;2;39;58527;
197;1;23;73800;
247;1;21;76790;
279;2;44;51755;
259;1;20;75366;
603;2;26;48541;
1;1;10;56108;
363;2;32;75523;
286;1;6;77832;
652;1;3;77063;
N207;2;65;51340;
3;2;38;71809;
696;2;13;57572;
233;2;30;54142;
89;2;45;49194;
284;1;25;56358;
414;1;30;77640;
N11;1;36;59601;
H19;1;3;76001;
45;2;33;74720;
162;2;26;49430;
225;2;16;77025;
612;2;32;75394;
617;2;2;71743;
234;2;23;56874;
180;2;24;55020;
W5;2;1;52931;FIRST
213;1;7;72770;
C10;1;4;74050;
162;1;28;75887;
8;1;7;54466;
28;2;4;76690;
148;1;34;76861;
125;1;4;75503;
612;2;5;71117;
128;1;49;75200;
254;1;37;91206;
H13;2;17;52841;
99;1;42;49444;
450;2;1;53741;FIRST
199;1;16;58156;
35;2;19;50054;
107;2;33;72975;
113;2;25;54724;
271;1;16;77150;
202;1;24;49291;
626;1;16;47730;
272;2;2;55169;
405;2;7;76719;
151;1;28;77562;
260;2;48;48395;
249;2;3;57687;
113;1;23;58401;
N68;2;16;73560;
468;1;10;71045;
490;1;30;54051;
53;1;20;74867;
413;1;21;56078;
X68;2;5;55244;
259;2;11;77466;
24;1;25;72497;
259;2;1;58454;FIRST
N47;1;99;77693;
N41;2;41;71024;
473;2;26;52359;
697;1;20;48029;
31;2;25;73412;
47;1;41;51276;
657;2;2;77897;
N31;2;22;71339;
671;2;33;72739;
233;2;19;72899;
232;1;38;53888;
120;2;9;74980;
N74;2;42;48318;
150;2;46;50401;
394;2;31;48767;
224;1;17;56366;
R1;1;16;52118;
72;1;14;73934;
47;1;21;54899;
629;2;21;71143;
211;1;14;53438;
674;1;8;51594;
134;2;47;54956;
152;2;40;72346;
201;2;37;47973;
436;1;31;76696;
N55;1;39;48975;
D7;1;22;76008;
466;2;37;51473;
232;2;9;57424;
639;1;16;47708;
228;2;23;77449;
